feature,importance
num__assignment_delay_hours,0.09827386365687608
num__affected_users,0.0978461481565604
num__created_hour,0.09301765489768923
num__alerts_count,0.06720627591360438
num__backlog_at_creation,0.06442798035284247
num__repeat_incident,0.05777062169706794
cat__category_Application,0.05648598821594812
cat__severity_P4,0.0528236732284189
num__num_comments,0.0488069089619701
cat__severity_P2,0.022910693776858764
cat__category_Network,0.022425648838621588
cat__severity_P3,0.01960517906582852
num__is_weekend,0.01710541899314922
cat__assigned_team_ERP Support,0.012262770166143232
cat__category_Cloud,0.011849440782030814
cat__category_Security,0.011603205667722449
cat__region_North America,0.011209827485530793
cat__assigned_team_App Support,0.010735870793762661
cat__severity_P1,0.01022089110006345
cat__region_APAC,0.009965927368866813
cat__region_Europe,0.009892893435177744
cat__assigned_team_Middleware Ops,0.00916849165167653
cat__service_CRM,0.008776183715972878
cat__service_ERP,0.008006176062071211
cat__business_unit_Engineering,0.007859550148807851
cat__business_unit_Operations,0.007788831531883608
cat__service_Middleware,0.007400800394341596
cat__business_unit_HR,0.007146761753112581
cat__business_unit_Sales,0.006978170806077077
cat__business_unit_Support,0.006280147911705412
cat__business_unit_Finance,0.006185379968333146
cat__assigned_team_SRE,0.006014825314124173
cat__service_Billing,0.0054055425056776085
cat__assigned_team_Infra Operations,0.005349444109042835
cat__assigned_team_Platform Engineering,0.005174882721527595
cat__assigned_team_NetOps,0.005095817418370278
cat__region_LATAM,0.0048717196134710474
cat__assigned_team_CloudOps,0.004464173237811548
cat__service_AWS,0.0044347494821439975
cat__service_Azure,0.004255529429017223
cat__category_Access,0.0042546186329046245
cat__assigned_team_SOC,0.004202541576598755
cat__assigned_team_IAM Operations,0.004120833573215003
cat__assigned_team_NOC,0.0038708049505417454
cat__service_Firewall,0.0038525248910466106
cat__service_SD-WAN,0.00381386668363702
cat__category_Database,0.0036544740430192483
cat__service_LAN,0.003554297042012072
cat__service_VPN,0.00349685943863738
cat__service_Kubernetes,0.0034048367544036373
cat__service_IAM,0.0032371008340336873
cat__service_VMware,0.002756549520098121
cat__service_Vulnerability Mgmt,0.0027307708111028992
cat__assigned_team_DBA,0.002669478851868345
cat__service_SIEM,0.0025920736724502637
cat__service_VPN Access,0.0023694280860200273
cat__assigned_team_SecOps,0.002352742147272311
cat__service_Oracle,0.0022905295271487343
cat__service_MySQL,0.0019918295000906612
cat__assigned_team_Service Desk,0.001970798206144336
cat__service_MongoDB,0.0019399155526247883
cat__service_PostgreSQL,0.001564348667424307
cat__service_Privileged Access,0.0015159649078641095
cat__service_Endpoint,0.0014088382471145451
cat__assigned_team_EUC Support,0.0013219230596010594
cat__service_Email Access,0.001039295083478141
cat__service_SSO,0.0009186954097455824
